"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;10;40;2;2;2
1;10;41;1;2;0
1;10;42;1;2;2
1;10;43;1;0;2
1;10;44;0;0;0
1;10;45;0;7;0
1;10;46;0;0;2
1;10;47;0;0;1
1;10;48;3;0;0
1;10;49;1;6;2
1;10;50;1;11;0
1;11;1;0;0;3
1;11;2;4;19;4
1;11;3;1;3;0
1;11;4;0;24;8
1;11;5;0;1;2
1;11;6;5;14;6
1;11;7;2;1;10
1;11;8;0;1;2
1;11;9;3;0;1
1;11;10;0;0;1
1;11;11;1;1;2
1;11;12;4;12;0
1;11;13;1;0;1
1;11;14;1;0;13
1;11;15;1;2;1
1;11;16;1;1;0
1;11;17;0;0;5
1;11;18;6;9;8
1;11;19;0;0;0
1;11;20;1;0;0
1;11;21;1;0;8
1;11;22;1;2;0
1;11;23;0;0;4
1;11;24;1;0;0
1;11;25;0;1;4
1;11;26;0;0;14
1;11;27;1;2;2
1;11;28;0;1;6
1;11;29;0;8;0
1;11;30;1;0;5
1;11;31;0;12;1
1;11;32;0;1;5
1;11;33;3;6;28
1;11;34;0;1;0
1;11;35;0;2;4
1;11;36;1;3;0
1;11;37;0;0;4
1;11;38;0;2;1
1;11;39;0;3;0
1;11;40;0;0;0
1;11;41;2;0;3
1;11;42;1;1;0
1;11;43;0;1;0
1;11;44;1;0;3
1;11;45;0;0;0
1;11;46;0;5;1
1;11;47;1;1;1
1;11;48;0;2;0
1;11;49;1;3;0
1;11;50;1;1;0
1;12;1;1;7;13
1;12;2;1;10;0
1;12;3;0;0;25
1;12;4;1;0;0
1;12;5;1;1;5
1;12;6;2;9;0
1;12;7;2;6;20
1;12;8;1;1;0
1;12;9;0;3;2
1;12;10;1;0;1
1;12;11;0;0;11
1;12;12;0;12;1
1;12;13;0;0;1
1;12;14;1;0;1
1;12;15;0;3;0
1;12;16;0;9;3
1;12;17;0;6;0
1;12;18;1;9;0
1;12;19;0;2;9
1;12;20;0;1;0
1;12;21;2;5;2
1;12;22;0;10;4
1;12;23;1;0;1
1;12;24;0;0;4
1;12;25;0;0;24
1;12;26;1;2;11
1;12;27;0;0;2
1;12;28;1;0;0
1;12;29;1;0;3
1;12;30;0;0;7
1;12;31;0;5;2
1;12;32;0;0;3
1;12;33;1;1;0
1;12;34;1;1;2
1;12;35;0;1;1
1;12;36;0;0;1
1;12;37;0;1;1
1;12;38;0;2;2
1;12;39;0;1;1
1;12;40;1;0;0
1;12;41;0;1;5
1;12;42;0;0;2
1;12;43;0;7;1
1;12;44;0;0;0
1;12;45;0;2;0
1;12;46;0;2;0
1;12;47;1;2;2
