"arrayNumber","simulation","bout","bee","similarityIndex"
1,2,38,1,1
1,2,38,2,0.714285714285714
1,2,39,1,1
1,2,39,2,0.714285714285714
1,2,40,1,1
1,2,40,2,0.666666666666667
1,2,41,1,0.636363636363636
1,2,41,2,0.5
1,2,42,1,0.636363636363636
1,2,42,2,0.428571428571429
1,2,43,1,1
1,2,43,2,0.571428571428571
1,2,44,1,1
1,2,44,2,0.636363636363636
1,2,45,1,1
1,2,45,2,0.545454545454545
1,2,46,1,1
1,2,46,2,0.666666666666667
1,2,47,1,1
1,2,47,2,0.3
1,2,48,1,1
1,2,48,2,0.3
1,2,49,1,1
1,2,49,2,0.666666666666667
1,3,1,1,0.4375
1,3,1,2,0.333333333333333
1,3,2,1,0.453125
1,3,2,2,0.41025641025641
1,3,3,1,0
1,3,3,2,0.272727272727273
1,3,4,1,0
1,3,4,2,0.375
1,3,5,1,0.404761904761905
1,3,5,2,0
1,3,6,1,0.392857142857143
1,3,6,2,0
1,3,7,1,0.272727272727273
1,3,7,2,0.5
1,3,8,1,0.454545454545455
1,3,8,2,0.75
1,3,9,1,0.17741935483871
1,3,9,2,0
1,3,10,1,0.693548387096774
1,3,10,2,0.166666666666667
1,3,11,1,0.222222222222222
1,3,11,2,0.285714285714286
1,3,12,1,0.270833333333333
1,3,12,2,0.404761904761905
1,3,13,1,0.479166666666667
1,3,13,2,0.272727272727273
1,3,14,1,0.566666666666667
1,3,14,2,0.633333333333333
1,3,15,1,0.369565217391304
1,3,15,2,0.433333333333333
1,3,16,1,0.173913043478261
1,3,16,2,0
1,3,17,1,0
1,3,17,2,0
1,3,18,1,0.107142857142857
1,3,18,2,0.428571428571429
1,3,19,1,0
1,3,19,2,0.479166666666667
1,3,20,1,0
1,3,20,2,0.5625
1,3,21,1,0.590909090909091
1,3,21,2,0.375
1,3,22,1,0.4
1,3,22,2,0
1,3,23,1,0.2
1,3,23,2,0
1,3,24,1,0.428571428571429
1,3,24,2,0.520833333333333
1,3,25,1,0.272727272727273
1,3,25,2,0.479166666666667
1,3,26,1,0.461538461538462
1,3,26,2,0.3125
1,3,27,1,0.230769230769231
1,3,27,2,0.25
1,3,28,1,0
1,3,28,2,0.375
1,3,29,1,0
1,3,29,2,0.461538461538462
1,3,30,1,0.325
1,3,30,2,0
1,3,31,1,0.325
1,3,31,2,0.266666666666667
1,3,32,1,0.321428571428571
1,3,32,2,0.4
1,3,33,1,0.428571428571429
1,3,33,2,0.25
1,3,34,1,0
1,3,34,2,0
1,3,35,1,0
1,3,35,2,0.384615384615385
1,3,36,1,0.5
1,3,36,2,0.678571428571429
1,3,37,1,0
1,3,37,2,0.678571428571429
1,3,38,1,0
1,3,38,2,0.571428571428571
1,3,39,1,0
1,3,39,2,0
1,3,40,1,0.6
