simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,relative_quality,absolute_quality
2,6,0,7.24635978609143,4,0.00467775,0.28099657595963234
2,6,1,7.222852462572543,3,0.00917782,0.5513197573136301
2,7,0,7.227965594533748,4,0.00888585,0.5337808614164715
2,7,1,7.227965594533748,3,0.00800562,0.4809046675076591
2,8,0,7.940357302733239,3,0.00247278,0.14854207965399172
2,8,1,7.258626661744182,4,0.00718397,0.4315474259626359
2,9,0,7.623823069152306,4,0.00439605,0.2640746080374843
2,9,1,7.149377069035954,3,0.0045017,0.27042109689433536
3,0,0,7.085933033592976,4,0.00382116,0.22954045774013337
3,0,1,7.085933033592976,3,0.00917782,0.5513197573136301
3,1,0,7.8270671506675855,3,0.00500959,0.30093049798762544
3,1,1,7.142267420583213,4,0.01060833,0.6372517570733466
3,2,0,7.605310321791599,3,0.00337796,0.20291704210968947
3,2,1,7.194430483740975,4,0.01060833,0.6372517570733466
3,3,0,7.039463166066485,4,0.0047515,0.2854268036282814
3,3,1,7.975548793004538,3,0.00373191,0.22417913137502254
3,4,0,7.640679582864012,3,0.00258899,0.15552291704210972
3,4,1,7.185174854929546,4,0.0047917,0.2878416531507179
3,5,0,7.504405732130877,3,0.00266616,0.16015858713281672
3,5,1,7.223655687111942,4,0.01060833,0.6372517570733466
3,6,0,7.839534324849475,3,0.00276174,0.16590016219138584
3,6,1,6.897873836438742,4,0.00853886,0.5129368655012916
3,7,0,7.180578950749114,3,0.00223428,0.13421517390520815
3,7,1,7.06954628975206,4,0.01060833,0.6372517570733466
3,8,0,7.277804288025587,3,0.00254452,0.1528515648465189
3,8,1,7.1784741524930675,4,0.0066345,0.39854027752748244
3,9,0,7.289967736278591,3,0.00373516,0.22437436174686132
3,9,1,7.280901754360578,4,0.01015493,0.6100156184297472
4,0,0,7.397865559626091,3,0.00215543,0.1294785847299814
4,0,1,7.412699680872972,4,0.00550862,0.33090767105184116
4,1,0,7.304797810499726,3,0.00506776,0.3044248212891212
4,1,1,7.304797810499726,4,0.01060833,0.6372517570733466
4,2,0,7.053714584255582,4,0.00439605,0.2640746080374843
4,2,1,8.32063135260006,3,0.00327065,0.1964708355859915
4,3,0,7.126223525114584,3,0.00243736,0.14641436895536733
4,3,1,7.5305843841739595,4,0.00662967,0.3982501351594882
4,4,0,6.819829402910713,4,0.00431579,0.25925331891632125
4,4,1,7.6110801047100995,3,0.00266112,0.15985582987925753
4,5,0,6.707586481581449,4,0.00460287,0.27649846819246715
4,5,1,7.379453741265004,3,0.00268224,0.1611245269417913
4,6,0,7.29810330057473,3,0.00210469,0.12643058809395089
4,6,1,6.820291750045792,4,0.00454033,0.2727416351294528
4,7,0,7.256539587166758,3,0.00257972,0.1549660599507419
4,7,1,6.903152064490612,4,0.01060833,0.6372517570733466
4,8,0,7.275808804326042,3,0.0049913,0.29983180152580047
4,8,1,7.06506477269894,4,0.00975113,0.5857589956148256
4,9,0,7.285966995243292,3,0.00287723,0.1728377485432811
4,9,1,7.159374245721648,4,0.00865631,0.5199921907851265
