"arrayNumber";"simulation";"bout";"interference";"exploitation1";"exploitation2"
1;15;11;1;3;0
1;15;12;0;3;0
1;15;13;0;1;0
1;15;14;1;14;4
1;15;15;3;3;5
1;15;16;1;4;0
1;15;17;0;9;2
1;15;18;0;4;0
1;15;19;0;0;2
1;15;20;0;0;12
1;15;21;0;0;3
1;15;22;0;1;0
1;15;23;0;12;5
1;15;24;1;6;0
1;15;25;0;4;0
1;15;26;0;6;0
1;15;27;0;0;15
1;15;28;0;2;0
1;15;29;0;0;3
1;15;30;1;8;3
1;16;1;0;7;0
1;16;2;0;6;0
1;16;3;1;0;2
1;16;4;3;2;1
1;16;5;2;0;1
1;16;6;0;1;1
1;16;7;0;0;15
1;16;8;3;4;1
1;16;9;0;2;0
1;16;10;4;1;7
1;16;11;0;12;0
1;16;12;1;10;0
1;16;13;0;3;4
1;16;14;1;5;1
1;16;15;1;0;12
1;16;16;1;1;2
1;16;17;0;3;1
1;16;18;1;0;5
1;16;19;0;0;9
1;16;20;0;1;4
1;16;21;3;3;10
1;16;22;1;0;18
1;16;23;0;0;15
1;16;24;1;0;1
1;16;25;1;1;2
1;16;26;1;2;0
1;16;27;2;6;4
1;16;28;0;1;0
1;16;29;0;0;9
1;16;30;0;0;1
1;17;1;0;0;5
1;17;2;2;3;2
1;17;3;0;4;2
1;17;4;1;0;1
1;17;5;1;3;14
1;17;6;0;5;0
1;17;7;1;1;6
1;17;8;2;0;8
1;17;9;1;0;2
1;17;10;0;1;2
1;17;11;2;1;0
1;17;12;0;1;13
1;17;13;1;1;2
1;17;14;0;1;7
1;17;15;1;2;4
1;17;16;0;0;6
1;17;17;0;4;13
1;17;18;2;2;1
1;17;19;2;2;2
1;17;20;2;1;0
1;17;21;1;0;0
1;17;22;0;0;0
1;17;23;0;0;0
1;17;24;0;11;0
1;17;25;0;1;17
1;17;26;0;3;1
1;17;27;1;0;0
1;17;28;0;1;2
1;17;29;1;9;0
1;17;30;0;12;0
1;18;1;1;8;13
1;18;2;0;0;1
1;18;3;0;2;8
1;18;4;2;3;0
1;18;5;0;1;9
1;18;6;1;1;6
1;18;7;1;1;0
1;18;8;0;1;10
1;18;9;0;2;1
1;18;10;0;7;2
1;18;11;1;2;3
1;18;12;0;2;1
1;18;13;0;0;2
1;18;14;0;6;1
1;18;15;1;0;0
1;18;16;0;0;8
1;18;17;0;2;9
1;18;18;0;5;1
1;18;19;0;3;5
1;18;20;0;11;1
1;18;21;2;2;8
1;18;22;2;1;1
1;18;23;1;2;12
1;18;24;0;2;0
1;18;25;0;3;0
1;18;26;0;8;1
1;18;27;0;8;0
1;18;28;0;10;0
1;18;29;0;0;4
1;18;30;1;6;0
1;19;1;0;2;9
1;19;2;0;1;0
1;19;3;1;0;1
1;19;4;1;2;1
1;19;5;0;0;4
1;19;6;0;0;2
1;19;7;1;9;2
1;19;8;0;0;7
1;19;9;1;1;0
1;19;10;0;4;0
1;19;11;5;1;9
1;19;12;0;0;2
1;19;13;0;4;12
1;19;14;0;0;15
1;19;15;0;4;0
1;19;16;2;7;1
1;19;17;0;6;0
1;19;18;0;2;1
1;19;19;0;1;1
1;19;20;1;13;3
1;19;21;1;6;3
1;19;22;1;2;0
1;19;23;0;0;8
1;19;24;1;8;1
1;19;25;0;9;1
1;19;26;2;3;5
1;19;27;1;9;0
1;19;28;0;0;3
1;19;29;0;0;17
1;19;30;0;0;0
1;20;1;0;1;5
1;20;2;0;0;10
1;20;3;1;6;3
1;20;4;1;6;13
1;20;5;0;4;0
1;20;6;1;2;9
1;20;7;0;9;0
1;20;8;0;3;1
1;20;9;1;1;1
1;20;10;1;2;5
1;20;11;1;3;0
1;20;12;0;1;4
1;20;13;0;2;5
1;20;14;0;0;3
1;20;15;1;1;13
1;20;16;1;0;0
1;20;17;0;4;18
1;20;18;1;9;11
1;20;19;0;3;3
1;20;20;0;0;0
1;20;21;1;7;3
1;20;22;1;2;10
1;20;23;1;4;6
1;20;24;1;2;0
1;20;25;0;3;0
1;20;26;1;0;4
1;20;27;3;1;2
1;20;28;0;2;1
1;20;29;0;1;2
1;20;30;0;14;1
1;21;1;4;9;8
1;21;2;1;2;2
1;21;3;1;0;3
1;21;4;0;7;0
1;21;5;1;17;1
1;21;6;1;4;14
1;21;7;0;1;0
1;21;8;1;0;0
1;21;9;3;0;0
1;21;10;0;2;13
1;21;11;0;2;7
1;21;12;0;5;1
1;21;13;0;0;1
1;21;14;1;0;11
1;21;15;0;1;2
1;21;16;2;0;1
1;21;17;0;1;2
1;21;18;2;3;7
1;21;19;1;2;1
1;21;20;0;0;4
1;21;21;0;15;0
1;21;22;0;1;1
1;21;23;1;13;2
1;21;24;0;1;3
1;21;25;0;0;8
1;21;26;0;9;3
1;21;27;0;1;13
1;21;28;1;7;0
1;21;29;0;4;0
1;21;30;2;1;9
1;22;1;2;1;1
1;22;2;2;1;0
1;22;3;0;5;3
1;22;4;0;3;1
1;22;5;2;0;0
1;22;6;0;18;2
1;22;7;0;2;0
1;22;8;0;0;1
1;22;9;1;5;0
1;22;10;0;0;5
1;22;11;1;0;1
1;22;12;0;0;9
1;22;13;1;14;1
1;22;14;1;5;13
1;22;15;0;0;6
1;22;16;2;0;2
1;22;17;0;7;2
1;22;18;1;0;3
1;22;19;0;3;2
1;22;20;0;0;2
1;22;21;0;3;0
1;22;22;0;12;6
1;22;23;1;5;1
1;22;24;0;0;7
1;22;25;1;0;4
1;22;26;0;0;2
1;22;27;0;4;3
1;22;28;0;0;8
1;22;29;0;10;2
1;22;30;2;0;4
1;23;1;0;2;3
1;23;2;0;7;1
1;23;3;3;4;1
1;23;4;0;0;4
1;23;5;0;2;12
1;23;6;0;0;6
1;23;7;2;7;6
1;23;8;0;1;0
1;23;9;0;5;2
1;23;10;0;2;0
1;23;11;2;4;4
1;23;12;0;0;3
1;23;13;1;7;0
1;23;14;0;0;1
1;23;15;0;0;0
1;23;16;0;0;0
1;23;17;1;0;9
1;23;18;0;0;0
1;23;19;1;0;9
1;23;20;0;7;6
1;23;21;0;2;5
1;23;22;0;13;0
1;23;23;0;4;0
1;23;24;0;4;7
1;23;25;1;0;12
1;23;26;0;0;0
1;23;27;0;3;0
1;23;28;0;3;2
1;23;29;1;3;2
1;23;30;0;0;5
1;24;1;0;0;1
1;24;2;0;0;3
1;24;3;0;1;0
1;24;4;1;0;0
1;24;5;1;3;5
1;24;6;0;4;1
1;24;7;0;12;2
1;24;8;0;15;2
1;24;9;0;0;9
1;24;10;0;0;1
1;24;11;0;2;2
1;24;12;0;0;2
1;24;13;0;2;1
1;24;14;0;5;1
1;24;15;1;2;9
1;24;16;0;0;2
1;24;17;0;2;8
1;24;18;1;3;0
1;24;19;0;0;12
1;24;20;1;6;2
1;24;21;1;5;5
1;24;22;2;14;4
1;24;23;1;1;0
1;24;24;0;0;9
1;24;25;1;2;1
1;24;26;2;1;3
1;24;27;1;0;4
1;24;28;0;0;0
1;24;29;0;3;1
1;24;30;0;10;1
1;25;1;0;0;0
1;25;2;2;0;0
1;25;3;0;0;0
1;25;4;1;7;1
1;25;5;0;0;2
1;25;6;0;0;1
1;25;7;2;0;1
1;25;8;3;0;0
1;25;9;1;0;0
1;25;10;0;0;0
1;25;11;0;3;0
1;25;12;0;11;6
1;25;13;2;1;8
1;25;14;0;0;4
1;25;15;1;1;2
1;25;16;0;7;2
1;25;17;0;0;2
1;25;18;2;14;10
1;25;19;1;1;0
1;25;20;0;8;4
1;25;21;0;8;1
1;25;22;3;1;2
1;25;23;0;7;0
1;25;24;0;2;9
1;25;25;0;0;0
1;25;26;1;1;12
1;25;27;1;6;4
1;25;28;1;1;1
1;25;29;0;2;2
1;25;30;0;1;2
1;26;1;1;0;0
1;26;2;1;7;4
1;26;3;0;4;2
1;26;4;0;3;15
1;26;5;1;2;2
1;26;6;1;0;0
1;26;7;0;11;2
1;26;8;0;2;2
1;26;9;1;8;0
1;26;10;1;0;2
1;26;11;2;10;8
1;26;12;0;2;0
1;26;13;0;0;9
1;26;14;0;2;4
1;26;15;1;1;0
1;26;16;0;0;1
1;26;17;0;0;1
1;26;18;0;1;5
1;26;19;0;3;0
1;26;20;0;0;12
1;26;21;0;4;0
1;26;22;0;0;0
1;26;23;2;1;2
1;26;24;0;3;0
1;26;25;0;0;4
1;26;26;0;4;6
1;26;27;0;0;0
1;26;28;0;1;3
1;26;29;0;0;0
1;26;30;0;1;4
1;27;1;0;7;1
1;27;2;1;0;5
1;27;3;1;7;11
1;27;4;0;1;0
1;27;5;1;0;0
1;27;6;0;0;2
1;27;7;1;7;0
1;27;8;0;1;1
1;27;9;0;0;0
1;27;10;0;0;3
1;27;11;0;10;6
1;27;12;1;11;3
1;27;13;0;0;4
1;27;14;0;8;1
1;27;15;0;3;3
1;27;16;0;5;2
1;27;17;0;1;1
1;27;18;0;0;8
1;27;19;0;6;2
1;27;20;0;5;0
1;27;21;2;0;0
1;27;22;0;1;3
1;27;23;0;0;2
1;27;24;1;7;13
1;27;25;1;1;3
1;27;26;0;0;1
1;27;27;0;9;0
1;27;28;0;10;1
1;27;29;0;4;6
1;27;30;0;0;1
1;28;1;1;2;4
1;28;2;0;3;3
1;28;3;0;0;1
1;28;4;2;1;4
1;28;5;0;0;1
1;28;6;0;12;0
1;28;7;1;4;2
1;28;8;0;5;1
1;28;9;0;2;1
1;28;10;4;14;3
1;28;11;1;3;1
1;28;12;0;0;10
1;28;13;1;4;0
1;28;14;1;3;3
1;28;15;0;1;4
1;28;16;1;0;2
1;28;17;1;1;0
1;28;18;1;1;1
1;28;19;0;1;1
1;28;20;0;1;0
1;28;21;0;2;0
1;28;22;0;5;2
1;28;23;1;13;1
1;28;24;1;7;4
1;28;25;1;0;2
1;28;26;1;4;3
1;28;27;2;1;2
1;28;28;1;5;1
1;28;29;0;0;2
1;28;30;2;5;2
1;29;1;1;0;3
1;29;2;1;0;0
1;29;3;2;0;8
1;29;4;0;0;0
1;29;5;0;5;6
1;29;6;0;2;1
1;29;7;1;7;1
1;29;8;0;1;14
1;29;9;0;9;0
1;29;10;0;0;5
1;29;11;1;0;0
1;29;12;1;9;0
1;29;13;2;1;12
1;29;14;0;1;0
1;29;15;0;0;1
1;29;16;3;7;1
1;29;17;1;1;0
1;29;18;0;1;1
1;29;19;0;5;2
1;29;20;0;0;3
1;29;21;0;1;9
1;29;22;1;3;4
1;29;23;0;1;1
1;29;24;2;2;0
1;29;25;0;3;2
1;29;26;0;1;0
1;29;27;1;8;1
1;29;28;0;9;0
1;29;29;0;11;4
1;29;30;0;5;0
1;30;1;0;15;5
1;30;2;0;3;1
1;30;3;0;10;0
1;30;4;0;0;5
1;30;5;0;2;0
1;30;6;1;4;1
1;30;7;0;1;2
1;30;8;1;4;3
1;30;9;1;1;0
1;30;10;0;2;10
1;30;11;1;0;2
1;30;12;0;1;1
1;30;13;0;2;10
1;30;14;1;0;0
1;30;15;0;4;0
1;30;16;0;0;1
1;30;17;0;2;8
1;30;18;0;4;0
1;30;19;2;1;6
1;30;20;0;0;4
1;30;21;0;0;1
1;30;22;1;0;14
1;30;23;1;0;9
1;30;24;1;2;1
1;30;25;1;1;3
1;30;26;1;1;3
1;30;27;0;13;2
1;30;28;0;11;3
1;30;29;0;1;0
1;30;30;0;0;5
1;31;1;2;3;2
1;31;2;0;0;1
1;31;3;1;1;7
1;31;4;1;0;0
1;31;5;1;1;0
1;31;6;0;12;0
1;31;7;3;5;5
1;31;8;1;0;0
1;31;9;0;3;1
1;31;10;0;1;0
1;31;11;1;1;0
1;31;12;0;1;4
1;31;13;1;12;2
1;31;14;3;4;1
1;31;15;0;0;5
1;31;16;4;4;6
1;31;17;0;5;7
1;31;18;0;1;1
1;31;19;1;0;9
