"simulation";"bout";"interference";"exploitation1";"exploitation2"
13;37;0;4;0
13;38;1;1;1
13;39;0;1;3
13;40;0;8;1
13;41;0;1;0
13;42;0;2;4
13;43;0;3;1
13;44;1;8;1
13;45;1;1;1
13;46;0;0;0
13;47;0;49;2
13;48;7;48;42
13;49;1;0;0
13;50;0;2;0
14;1;14;38;33
14;2;1;15;7
14;3;0;20;0
14;4;0;0;4
14;5;0;3;8
14;6;0;7;2
14;7;0;10;3
14;8;1;3;3
14;9;2;3;6
14;10;0;15;4
14;11;1;3;4
14;12;0;0;1
14;13;1;0;5
14;14;0;14;5
14;15;0;2;6
14;16;0;3;10
14;17;0;0;3
14;18;4;4;59
14;19;3;2;54
14;20;1;0;11
14;21;0;0;11
14;22;0;6;0
14;23;0;12;1
14;24;0;3;1
14;25;0;0;4
14;26;0;3;1
14;27;0;2;12
14;28;2;0;6
14;29;1;0;2
14;30;0;0;4
14;31;2;15;30
14;32;1;0;1
14;33;0;0;0
14;34;0;9;3
14;35;0;0;3
14;36;2;0;0
14;37;0;2;0
14;38;1;4;0
14;39;1;3;0
14;40;1;0;0
14;41;1;38;2
14;42;0;2;1
14;43;0;4;1
14;44;1;1;0
14;45;1;0;0
14;46;0;8;2
14;47;0;0;0
14;48;1;1;1
14;49;0;0;4
14;50;0;0;0
15;1;0;3;0
15;2;1;1;13
15;3;1;23;2
15;4;0;65;0
15;5;0;9;2
15;6;5;7;18
15;7;0;2;12
15;8;1;4;41
15;9;0;2;23
15;10;0;6;0
15;11;15;7;10
15;12;0;11;3
15;13;0;3;1
15;14;0;1;2
15;15;0;6;0
15;16;1;0;3
15;17;0;2;0
15;18;0;0;13
15;19;0;11;1
15;20;2;4;0
15;21;1;0;0
15;22;0;1;5
15;23;0;5;4
15;24;0;1;2
15;25;0;0;2
15;26;0;1;1
15;27;2;61;23
15;28;1;6;5
15;29;0;1;4
15;30;0;0;11
15;31;0;3;2
15;32;0;4;0
15;33;1;1;1
15;34;0;0;14
15;35;0;5;0
15;36;0;3;0
15;37;0;0;8
15;38;0;2;3
15;39;0;0;11
15;40;0;0;5
15;41;0;2;3
15;42;2;3;3
15;43;0;3;0
15;44;2;0;0
15;45;13;52;42
15;46;0;3;2
15;47;0;3;1
15;48;0;0;1
15;49;2;17;0
15;50;0;5;0
16;1;2;1;20
16;2;0;10;0
16;3;1;5;51
16;4;2;4;7
16;5;0;0;31
16;6;0;1;0
16;7;0;7;0
16;8;4;9;2
16;9;0;36;7
16;10;0;12;1
16;11;0;0;10
16;12;3;7;6
16;13;0;0;9
16;14;0;21;2
16;15;1;3;60
16;16;0;1;11
16;17;1;1;3
16;18;2;4;4
16;19;0;2;2
16;20;15;47;45
16;21;1;5;0
16;22;1;2;5
16;23;1;6;0
16;24;0;1;0
16;25;0;1;4
16;26;0;1;3
16;27;0;5;8
16;28;2;0;2
16;29;0;6;0
16;30;2;0;1
16;31;0;0;0
16;32;1;1;6
16;33;0;1;0
16;34;1;2;11
16;35;1;3;3
16;36;0;5;3
16;37;1;0;14
16;38;2;0;0
16;39;0;37;5
16;40;0;2;1
16;41;6;30;44
16;42;2;0;18
16;43;0;10;0
16;44;3;12;10
16;45;1;1;0
16;46;0;0;1
16;47;1;8;0
16;48;0;7;0
16;49;0;1;0
16;50;0;0;1
17;1;3;0;0
17;2;1;9;0
17;3;0;7;6
17;4;0;0;2
17;5;0;0;2
17;6;1;0;6
17;7;3;3;0
17;8;0;5;4
17;9;1;19;3
17;10;0;14;4
17;11;0;14;1
17;12;1;10;2
17;13;0;4;1
17;14;0;1;5
17;15;1;11;0
17;16;1;2;11
17;17;0;9;0
17;18;1;4;4
17;19;0;4;1
17;20;5;2;4
17;21;0;3;12
17;22;1;0;59
17;23;0;2;0
17;24;0;1;0
17;25;0;2;2
17;26;2;1;0
17;27;0;4;1
17;28;0;2;3
17;29;0;1;2
17;30;0;4;14
17;31;2;0;3
17;32;0;0;1
17;33;8;60;24
17;34;1;2;1
17;35;1;2;8
17;36;0;1;1
17;37;0;2;1
17;38;0;8;1
17;39;0;0;12
17;40;2;2;3
17;41;3;22;18
17;42;4;47;19
17;43;0;0;0
17;44;0;0;1
17;45;0;1;7
17;46;1;5;0
17;47;0;3;0
17;48;3;0;0
17;49;1;0;0
17;50;0;1;0
18;1;2;8;3
18;2;1;3;5
