simulation,bout,bee,distance_with_previous_learning_array,number_of_resources_foraged,absolute_quality,relative_quality
1,7,0,3.518618506352038,5.0,0.0230484,0.4949743196798271
1,7,1,3.6391569620195234,2.0,0.00453952,0.0974881477097312
1,8,0,3.8946409101210606,5.0,0.01739363,0.3735356977496325
1,8,1,3.6228811496034643,1.0,0.00154545,0.03318920455863265
1,9,0,4.631177749947726,5.0,0.0250939,0.5389023134193095
1,9,1,5.0392445682722045,4.0,0.0057776,0.12407644909764534
1,10,0,4.635168870770014,3.0,0.01156804,0.24842864272700171
1,10,1,5.319918927639648,5.0,0.00915977,0.19671000694944937
1,11,0,5.601481308907496,4.0,0.00531149,0.11406653603877948
1,11,1,5.011342205239535,5.0,0.02365119,0.5079194946229816
1,12,0,4.9458800164230325,5.0,0.02253922,0.4840394598156033
1,12,1,5.586237579466524,4.0,0.00529915,0.11380152922247772
1,13,0,5.337680050262276,4.0,0.00506961,0.10887205883237222
1,13,1,5.392138975659086,5.0,0.02647719,0.5686090621163951
1,14,0,5.34264768482052,5.0,0.0184533,0.3962925675251971
1,14,1,4.993118285874813,1.0,0.00207275,0.044513199229289736
1,15,0,5.179054653033818,1.0,0.00176919,0.03799411744999016
1,15,1,5.730563004028567,5.0,0.04656484,1.0
1,16,0,6.099678999032253,5.0,0.01128396,0.24232790234004883
1,16,1,6.2454596355361565,5.0,0.04656484,1.0
1,17,0,6.045427105859251,3.0,0.0060697,0.13034942243976355
1,17,1,6.127239301378115,5.0,0.02389722,0.5132030948672861
1,18,0,6.438185638472341,4.0,0.01659848,0.3564595089342087
1,18,1,7.049861615495778,5.0,0.01403014,0.30130330094552027
1,19,0,6.837534070644159,5.0,0.02459519,0.5281923013157567
1,19,1,6.682826188981176,4.0,0.01471,0.3159035873418657
1,20,0,6.888096724067977,5.0,0.02366883,0.508298321222622
1,20,1,7.177022816654187,4.0,0.00896499,0.19252702253459908
1,21,0,6.890405292298298,5.0,0.02541718,0.5458448906943522
