"ArrayNumber","Simulation","Bout","Q1","Q2","Qall","QallRelative"
1,4,30,0.01308678,0.00144104,0.015,0.31072813753076
1,5,1,0.01053687,0.0172049,0.028,0.580025856724084
1,5,2,0.00662143,0.01313223,0.02,0.414304183374346
1,5,3,0.02169548,0.00356612,0.025,0.517880229217933
1,5,4,0.00765202,0.01496394,0.023,0.476449810880498
1,5,5,0.00784378,0.01428069,0.022,0.455734601711781
1,5,6,0.01283136,0.00981655,0.023,0.476449810880498
1,5,7,0.02319751,0.00593604,0.029,0.600741065892802
1,5,8,0.01171928,0.00118195,0.013,0.269297719193325
1,5,9,0.00829098,0.02027205,0.029,0.600741065892802
1,5,10,0.00792149,0.01184702,0.02,0.414304183374346
1,5,11,0.00281184,0.00952226,0.012,0.248582510024608
1,5,12,0.00487092,0.01316686,0.018,0.372873765036911
1,5,13,0.01601577,0.01383951,0.03,0.621456275061519
1,5,14,0.01392258,0.00761467,0.022,0.455734601711781
1,5,15,0.00622925,0.01511603,0.021,0.435019392543063
1,5,16,0.02336307,0.00897391,0.032,0.662886693398954
1,5,17,0.01707078,0.00282511,0.02,0.414304183374346
1,5,18,0.00748905,0.01149615,0.019,0.393588974205629
1,5,19,0.00592298,0.01717037,0.023,0.476449810880498
1,5,20,0.0210539,0.00488665,0.026,0.53859543838665
1,5,21,0.01432375,0.0171404,0.031,0.642171484230236
1,5,22,0.00442332,0.01149798,0.016,0.331443346699477
1,5,23,0.01265082,0.02328972,0.036,0.745747530073823
1,5,24,0.01813695,0.00557076,0.024,0.497165020049215
1,5,25,0.01204643,0.01327451,0.025,0.517880229217933
1,5,26,0.02062778,0.01013623,0.031,0.642171484230236
1,5,27,0.01612492,0.00473162,0.021,0.435019392543063
1,5,28,0.00931848,0.0092599,0.019,0.393588974205629
1,5,29,0.01604929,0.00261928,0.019,0.393588974205629
1,5,30,0.01071234,0.0073532,0.018,0.372873765036911
1,6,1,0.00635074,0.0060227,0.012,0.248582510024608
1,6,2,0.01503155,0.00365056,0.019,0.393588974205629
1,6,3,0.01702584,0.00476419,0.022,0.455734601711781
1,6,4,0.00522766,0.0215652,0.027,0.559310647555367
1,6,5,0.01954348,0.01148362,0.031,0.642171484230236
1,6,6,0.00923862,0.00896145,0.018,0.372873765036911
1,6,7,0.01640489,0.00278829,0.019,0.393588974205629
1,6,8,0.01713301,0.00338614,0.021,0.435019392543063
1,6,9,0.00817285,0.0053027,0.013,0.269297719193325
1,6,10,0.00938045,0.00784139,0.017,0.352158555868194
1,6,11,0.01336044,0.01004721,0.023,0.476449810880498
1,6,12,0.00501616,0.02610403,0.031,0.642171484230236
1,6,13,0.00851785,0.0103479,0.019,0.393588974205629
1,6,14,0.02562573,0.00144104,0.027,0.559310647555367
1,6,15,0.01045262,0.02041927,0.031,0.642171484230236
1,6,16,0.01307254,0.01306834,0.026,0.53859543838665
1,6,17,0.01579262,0.00897304,0.025,0.517880229217933
1,6,18,0.00176919,0.02561257,0.027,0.559310647555367
1,6,19,0.00812053,0.01612611,0.024,0.497165020049215
1,6,20,0.00473469,0.0327114,0.037,0.76646273924254
1,6,21,0.00840355,0.01820352,0.027,0.559310647555367
1,6,22,0.0082207,0.01253394,0.021,0.435019392543063
1,6,23,0.01349942,0.01904911,0.033,0.683601902567671
1,6,24,0.01140384,0.00735094,0.019,0.393588974205629
1,6,25,0.01607755,0.01146003,0.028,0.580025856724084
1,6,26,0.00708261,0.01904911,0.026,0.53859543838665
1,6,27,0.01686731,0.00821753,0.025,0.517880229217933
1,6,28,0.01549509,0.01284897,0.028,0.580025856724084
1,6,29,0.00522766,0.02561257,0.031,0.642171484230236
1,6,30,0.01354195,0.0327114,0.046,0.952899621760996
1,7,1,0.00501048,0.0159014,0.021,0.435019392543063
1,7,2,0.00257489,0.01078205,0.013,0.269297719193325
1,7,3,0.00981624,0.01358765,0.023,0.476449810880498
1,7,4,0.00957233,0.0178384,0.027,0.559310647555367
1,7,5,0.00921422,0.00761217,0.017,0.352158555868194
1,7,6,0.00475067,0.01442467,0.019,0.393588974205629
1,7,7,0.00818916,0.01818328,0.026,0.53859543838665
1,7,8,0.00436332,0.01422991,0.019,0.393588974205629
1,7,9,0.00706619,0.00761546,0.015,0.31072813753076
1,7,10,0.0105409,0.00467179,0.015,0.31072813753076
