"arrayNumber","simulation","bout","bee","similarityIndex"
1,2,14,2,0.302631578947368
1,2,15,1,0
1,2,15,2,0.153846153846154
1,2,16,1,0.1875
1,2,16,2,0.269230769230769
1,2,17,1,0.222222222222222
1,2,17,2,0
1,2,18,1,0.111111111111111
1,2,18,2,0
1,2,19,1,0
1,2,19,2,0.5
1,2,20,1,0.333333333333333
1,2,20,2,0
1,2,21,1,0.366666666666667
1,2,21,2,0.58695652173913
1,2,22,1,0
1,2,22,2,0.260869565217391
1,2,23,1,0
1,2,23,2,0
1,2,24,1,0.25
1,2,24,2,0
1,2,25,1,0.2
1,2,25,2,0
1,2,26,1,0.2
1,2,26,2,0.15
1,2,27,1,0.25
1,2,27,2,0.15
1,2,28,1,0.666666666666667
1,2,28,2,0
1,2,29,1,0.477272727272727
1,2,29,2,0
1,2,30,1,0.136363636363636
1,2,30,2,0
1,2,31,1,0
1,2,31,2,0
1,2,32,1,0
1,2,32,2,0
1,2,33,1,0.196428571428571
1,2,33,2,0
1,2,34,1,0.214285714285714
1,2,34,2,0
1,2,35,1,0.375
1,2,35,2,0.176470588235294
1,2,36,1,0
1,2,36,2,0.15
1,2,37,1,0
1,2,37,2,0
1,2,38,1,0.37037037037037
1,2,38,2,0
1,2,39,1,0
1,2,39,2,0
1,2,40,1,0
1,2,40,2,0
1,2,41,1,0
1,2,41,2,0
1,2,42,1,0.166666666666667
1,2,42,2,0
1,2,43,1,0
1,2,43,2,0.272727272727273
1,2,44,1,0.184210526315789
1,2,44,2,0
1,2,45,1,0.184210526315789
1,2,45,2,0
1,2,46,1,0
1,2,46,2,0
1,2,47,1,0
1,2,47,2,0
1,2,48,1,0
1,2,48,2,0.242424242424242
1,2,49,1,0
1,2,49,2,0.333333333333333
1,3,1,1,0
1,3,1,2,0.266666666666667
1,3,2,1,0.342105263157895
1,3,2,2,0
1,3,3,1,0.473684210526316
1,3,3,2,0
1,3,4,1,0
1,3,4,2,0.3
1,3,5,1,0.375
1,3,5,2,0.425
1,3,6,1,0
1,3,6,2,0.222222222222222
1,3,7,1,0
1,3,7,2,0.476190476190476
1,3,8,1,0.34375
1,3,8,2,0.464285714285714
1,3,9,1,0.338235294117647
1,3,9,2,0
1,3,10,1,0.338235294117647
1,3,10,2,0
1,3,11,1,0.4
1,3,11,2,0
1,3,12,1,0
1,3,12,2,0
1,3,13,1,0.151515151515152
1,3,13,2,0
1,3,14,1,0.592105263157895
1,3,14,2,0.166666666666667
1,3,15,1,0.381578947368421
1,3,15,2,0.25
1,3,16,1,0
1,3,16,2,0
1,3,17,1,0
1,3,17,2,0
1,3,18,1,0
1,3,18,2,0
1,3,19,1,0
1,3,19,2,0.333333333333333
1,3,20,1,0
1,3,20,2,0.35
1,3,21,1,0
1,3,21,2,0.1875
1,3,22,1,0
1,3,22,2,0
1,3,23,1,0
1,3,23,2,0
1,3,24,1,0
1,3,24,2,0
1,3,25,1,0.428571428571429
1,3,25,2,0.21875
1,3,26,1,0
1,3,26,2,0.447368421052632
1,3,27,1,0
1,3,27,2,0.157894736842105
1,3,28,1,0
1,3,28,2,0
1,3,29,1,0
1,3,29,2,0
1,3,30,1,0.41304347826087
1,3,30,2,0
1,3,31,1,0.520833333333333
1,3,31,2,0
1,3,32,1,0.25
1,3,32,2,0
1,3,33,1,0
1,3,33,2,0
1,3,34,1,0
1,3,34,2,0.285714285714286
1,3,35,1,0
1,3,35,2,0.410714285714286
1,3,36,1,0
1,3,36,2,0.416666666666667
1,3,37,1,0.125
1,3,37,2,0
1,3,38,1,0.125
1,3,38,2,0
1,3,39,1,0.302631578947368
1,3,39,2,0
1,3,40,1,0.342105263157895
1,3,40,2,0.176470588235294
1,3,41,1,0
1,3,41,2,0.176470588235294
1,3,42,1,0.333333333333333
1,3,42,2,0
1,3,43,1,0.272727272727273
1,3,43,2,0
1,3,44,1,0
1,3,44,2,0
1,3,45,1,0
1,3,45,2,0
1,3,46,1,0
1,3,46,2,0
1,3,47,1,0.25
1,3,47,2,0.5
1,3,48,1,0.338235294117647
1,3,48,2,0
1,3,49,1,0
1,3,49,2,0
1,4,1,1,0
1,4,1,2,0.166666666666667
1,4,2,1,0.386363636363636
1,4,2,2,0.38
1,4,3,1,0.477272727272727
1,4,3,2,0.691176470588235
1,4,4,1,0
1,4,4,2,0.470588235294118
1,4,5,1,0.184210526315789
1,4,5,2,0
1,4,6,1,0.342105263157895
1,4,6,2,0.285714285714286
1,4,7,1,0.366666666666667
1,4,7,2,0.285714285714286
1,4,8,1,0.533333333333333
1,4,8,2,0.176470588235294
1,4,9,1,0.3
1,4,9,2,0.176470588235294
1,4,10,1,0.2
1,4,10,2,0
1,4,11,1,0
1,4,11,2,0
1,4,12,1,0
1,4,12,2,0.17741935483871
1,4,13,1,0
1,4,13,2,0.129032258064516
1,4,14,1,0
1,4,14,2,0
1,4,15,1,0.3
1,4,15,2,0
1,4,16,1,0.3125
1,4,16,2,0.1875
1,4,17,1,0.40625
1,4,17,2,0.333333333333333
1,4,18,1,0.476190476190476
1,4,18,2,0.388888888888889
1,4,19,1,0.452380952380952
1,4,19,2,0.388888888888889
1,4,20,1,0.1875
1,4,20,2,0
1,4,21,1,0.192307692307692
1,4,21,2,0.375
1,4,22,1,0.192307692307692
1,4,22,2,0.28125
1,4,23,1,0.3
1,4,23,2,0
1,4,24,1,0
1,4,24,2,0.214285714285714
1,4,25,1,0
1,4,25,2,0.285714285714286
1,4,26,1,0
1,4,26,2,0.2
1,4,27,1,0.275
1,4,27,2,0
1,4,28,1,0.275
1,4,28,2,0
1,4,29,1,0
1,4,29,2,0
1,4,30,1,0
1,4,30,2,0.25
1,4,31,1,0.6
1,4,31,2,0
1,4,32,1,0
1,4,32,2,0.229166666666667
1,4,33,1,0.428571428571429
1,4,33,2,0.25
1,4,34,1,0
1,4,34,2,0.166666666666667
1,4,35,1,0
1,4,35,2,0.125
1,4,36,1,0
1,4,36,2,0.125
1,4,37,1,0
1,4,37,2,0
1,4,38,1,0
1,4,38,2,0
1,4,39,1,0
1,4,39,2,0.176470588235294
1,4,40,1,0
