"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","similarityIndex"
"R10-P1","noRouteCompare",1.5,0.75,1,4,8,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,8,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,9,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,9,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,10,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,10,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,11,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,11,2,0.375
"R10-P1","noRouteCompare",1.5,0.75,1,4,12,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,12,2,0.25
"R10-P1","noRouteCompare",1.5,0.75,1,4,13,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,13,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,14,1,0.428571428571429
"R10-P1","noRouteCompare",1.5,0.75,1,4,14,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,15,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,15,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,16,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,16,2,0.230769230769231
"R10-P1","noRouteCompare",1.5,0.75,1,4,17,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,17,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,18,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,18,2,0.264705882352941
"R10-P1","noRouteCompare",1.5,0.75,1,4,19,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,19,2,0.264705882352941
"R10-P1","noRouteCompare",1.5,0.75,1,4,20,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,20,2,0.291666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,4,21,1,0.25
"R10-P1","noRouteCompare",1.5,0.75,1,4,21,2,0.416666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,4,22,1,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,4,22,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,23,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,23,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,24,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,24,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,25,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,25,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,26,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,26,2,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,27,1,0
"R10-P1","noRouteCompare",1.5,0.75,1,4,27,2,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,4,28,1,0
