"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R10-P1","noRouteCompare",1.5,0.75,1,5,1,1,0,0.24,0.571428571428571
"R10-P1","noRouteCompare",1.5,0.75,1,5,2,1,0,0.128544423440454,0.261538461538462
"R10-P1","noRouteCompare",1.5,0.75,1,5,3,1,0,0.116343490304709,0.3
"R10-P1","noRouteCompare",1.5,0.75,1,5,4,1,0.271096611167892,0.243767313019391,0.488888888888889
"R10-P1","noRouteCompare",1.5,0.75,1,5,5,1,0.333333333333333,0.330578512396694,0.714285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,5,6,1,0.0591841756374117,0.222222222222222,0.45
"R10-P1","noRouteCompare",1.5,0.75,1,5,7,1,1.946,0.408163265306122,1
"R10-P1","noRouteCompare",1.5,0.75,1,5,8,1,0,0.0888888888888889,0.227272727272727
"R10-P1","noRouteCompare",1.5,0.75,1,5,9,1,1.946,0.408163265306122,1
"R10-P1","noRouteCompare",1.5,0.75,1,5,10,1,0.557885891302259,0.271604938271605,0.785714285714286
"R10-P1","noRouteCompare",1.5,0.75,1,5,11,1,0.228443826320529,0.231404958677686,0.466666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,5,12,1,0.0166749694180842,0.0892857142857143,0.204678362573099
"R10-P1","noRouteCompare",1.5,0.75,1,5,13,1,0.210309917857153,0.213333333333333,0.545454545454546
"R10-P1","noRouteCompare",1.5,0.75,1,5,14,1,0,0.198347107438017,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,5,15,1,0.128950935744847,0.199445983379501,0.4
"R10-P1","noRouteCompare",1.5,0.75,1,5,16,1,0,0.166666666666667,0.415384615384615
"R10-P1","noRouteCompare",1.5,0.75,1,5,17,1,0.111111111111111,0.1312,0.325396825396825
"R10-P1","noRouteCompare",1.5,0.75,1,5,18,1,0,0.138888888888889,0.555555555555555
"R10-P1","noRouteCompare",1.5,0.75,1,5,19,1,0.140206611904769,0.148148148148148,0.333333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,5,20,1,0.175504219045249,0.204158790170132,0.482142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,5,21,1,0,0.330578512396694,0.714285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,5,22,1,0.275899095881065,0.237252861602497,0.518181818181818
"R10-P1","noRouteCompare",1.5,0.75,1,5,23,1,0.333333333333334,0.355029585798817,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,5,24,1,0.16442291849514,0.140495867768595,0.354166666666667
"R10-P1","noRouteCompare",1.5,0.75,1,5,25,1,0,0.266666666666667,0.555555555555556
"R10-P1","noRouteCompare",1.5,0.75,1,5,26,1,0.685331478961587,0.4,0.833333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,5,27,1,0.407836178068269,0.226757369614512,0.625
"R10-P1","noRouteCompare",1.5,0.75,1,5,28,1,0.177622660637882,0.21606648199446,0.443181818181818
"R10-P1","noRouteCompare",1.5,0.75,1,5,29,1,0.183420109162803,0.166204986149584,0.384615384615385
"R10-P1","noRouteCompare",1.5,0.75,1,5,30,1,0.34331493949201,0.2656,0.532051282051282
"R10-P1","noRouteCompare",1.5,0.75,1,6,1,1,1.386,0.5,1
"R10-P1","noRouteCompare",1.5,0.75,1,6,2,1,0.366840218325605,0.265927977839335,0.615384615384615
"R10-P1","noRouteCompare",1.5,0.75,1,6,3,1,0.224619919276669,0.216049382716049,0.538461538461539
"R10-P1","noRouteCompare",1.5,0.75,1,6,4,1,1.946,0.408163265306122,1
"R10-P1","noRouteCompare",1.5,0.75,1,6,5,1,0,0.333333333333333,0.666666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,6,6,1,0.366840218325606,0.234375,0.769230769230769
"R10-P1","noRouteCompare",1.5,0.75,1,6,7,1,0.25615214493032,0.285714285714286,0.583333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,6,8,1,0,0.244897959183673,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,6,9,1,0.0821678751125726,0.1248,0.270833333333333
"R10-P1","noRouteCompare",1.5,0.75,1,6,10,1,0.0883066934557653,0.154195011337868,0.425
"R10-P1","noRouteCompare",1.5,0.75,1,6,11,1,0.5,0.296296296296296,0.857142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,6,12,1,0.254803508424256,0.2,0.533333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,6,13,1,0.0413304927969636,0.181818181818182,0.363636363636364
"R10-P1","noRouteCompare",1.5,0.75,1,6,14,1,0,0.326530612244898,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,6,15,1,0.326140242169992,0.216049382716049,0.538461538461538
"R10-P1","noRouteCompare",1.5,0.75,1,6,16,1,0,0.236686390532544,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,6,17,1,0.5,0.22,0.6875
"R10-P1","noRouteCompare",1.5,0.75,1,6,18,1,0,0.326530612244898,0.8
"R10-P1","noRouteCompare",1.5,0.75,1,6,19,1,0.104605708381693,0.158790170132325,0.35
"R10-P1","noRouteCompare",1.5,0.75,1,6,20,1,0,0.132325141776938,0.388888888888889
"R10-P1","noRouteCompare",1.5,0.75,1,6,21,1,0.62807607246516,0.373333333333333,0.777777777777778
"R10-P1","noRouteCompare",1.5,0.75,1,6,22,1,0.369466870505927,0.28099173553719,0.581196581196581
"R10-P1","noRouteCompare",1.5,0.75,1,6,23,1,0,0.256055363321799,0.513888888888889
"R10-P1","noRouteCompare",1.5,0.75,1,6,24,1,0,0.180555555555556,0.371428571428571
"R10-P1","noRouteCompare",1.5,0.75,1,6,25,1,0.30493862851424,0.29757785467128,0.614285714285715
"R10-P1","noRouteCompare",1.5,0.75,1,6,26,1,0,0.1875,0.380952380952381
"R10-P1","noRouteCompare",1.5,0.75,1,6,27,1,0.75,0.346020761245675,0.909090909090909
"R10-P1","noRouteCompare",1.5,0.75,1,6,28,1,0,0.330578512396694,0.714285714285714
"R10-P1","noRouteCompare",1.5,0.75,1,6,29,1,1.946,0.408163265306122,1
"R10-P1","noRouteCompare",1.5,0.75,1,6,30,1,2.197,0.493827160493827,1
"R10-P1","noRouteCompare",1.5,0.75,1,7,1,1,0.666666666666666,0.36,0.857142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,7,2,1,0.228443826320529,0.191467221644121,0.440191387559809
"R10-P1","noRouteCompare",1.5,0.75,1,7,3,1,0.326140242169992,0.246913580246914,0.615384615384616
"R10-P1","noRouteCompare",1.5,0.75,1,7,4,1,0.293909306973484,0.260387811634349,0.602564102564102
"R10-P1","noRouteCompare",1.5,0.75,1,7,5,1,0,0.155009451795841,0.310606060606061
"R10-P1","noRouteCompare",1.5,0.75,1,7,6,1,0,0.231404958677686,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,7,7,1,0,0.4,0.833333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,7,8,1,0,0.36734693877551,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,7,9,1,0.0336037340137496,0.159763313609467,0.327272727272727
"R10-P1","noRouteCompare",1.5,0.75,1,7,10,1,0.125,0.13,0.30952380952381
"R10-P1","noRouteCompare",1.5,0.75,1,7,11,1,0,0.224489795918367,0.458333333333333
"R10-P1","noRouteCompare",1.5,0.75,1,7,12,1,0,0.264462809917355,0.571428571428571
"R10-P1","noRouteCompare",1.5,0.75,1,7,13,1,0.396003620104645,0.227146814404432,0.585714285714286
"R10-P1","noRouteCompare",1.5,0.75,1,7,14,1,0,0.29585798816568,0.625
"R10-P1","noRouteCompare",1.5,0.75,1,7,15,1,0.210309917857152,0.272189349112426,0.547619047619048
"R10-P1","noRouteCompare",1.5,0.75,1,7,16,1,0.6,0.373333333333333,0.777777777777778
"R10-P1","noRouteCompare",1.5,0.75,1,7,17,1,0.333333333333333,0.27681660899654,0.555555555555556
"R10-P1","noRouteCompare",1.5,0.75,1,7,18,1,0.207992759790712,0.175,0.466666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,7,19,1,0.0687628647697105,0.139886578449906,0.362745098039216
"R10-P1","noRouteCompare",1.5,0.75,1,7,20,1,0.0502603274884082,0.15,0.357142857142857
"R10-P1","noRouteCompare",1.5,0.75,1,7,21,1,0.23935198569284,0.256055363321799,0.560606060606061
"R10-P1","noRouteCompare",1.5,0.75,1,7,22,1,1,0.473372781065089,1
"R10-P1","noRouteCompare",1.5,0.75,1,7,23,1,0,0.231404958677686,0.777777777777778
"R10-P1","noRouteCompare",1.5,0.75,1,7,24,1,0.206230879965241,0.189035916824197,0.490196078431373
"R10-P1","noRouteCompare",1.5,0.75,1,7,25,1,0,0.154320987654321,0.384615384615385
"R10-P1","noRouteCompare",1.5,0.75,1,7,26,1,0,0.296296296296296,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,7,27,1,0.666666666666667,0.347107438016529,0.875
"R10-P1","noRouteCompare",1.5,0.75,1,7,28,1,0.246046830952362,0.222222222222222,0.5
"R10-P1","noRouteCompare",1.5,0.75,1,7,29,1,0.629337042076827,0.24,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,7,30,1,0.333333333333333,0.297520661157025,0.75
"R10-P1","noRouteCompare",1.5,0.75,1,8,1,1,0,0.32,0.666666666666667
"R10-P1","noRouteCompare",1.5,0.75,1,8,2,1,0,0.296296296296296,0.6
"R10-P1","noRouteCompare",1.5,0.75,1,8,3,1,0,0.246913580246914,0.714285714285714
