"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R10-P1","noRouteCompare",1.5,0.75,1,3,18,1,0.01597699,0.00748905,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,3,19,1,0.01268843,0.00894482,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,3,20,1,0.0180468,0.01166977,0.621456275061519
"R10-P1","noRouteCompare",1.5,0.75,1,3,21,1,0.01500051,0.00508662,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,3,22,1,0.00716254,0.01286407,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,3,23,1,0.02366494,0.00283346,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,3,24,1,0.00215047,0.02006106,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,3,25,1,0.01765028,0.0106848,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,3,26,1,0.00757396,0.01998347,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,3,27,1,0.00724938,0.02134527,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,3,28,1,0.0172049,0.00943783,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,3,29,1,0.02564474,0.00444462,0.621456275061519
"R10-P1","noRouteCompare",1.5,0.75,1,3,30,1,0.01779651,0.00117509,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,4,1,1,0.0056753,0.00497118,0.22786730085589
"R10-P1","noRouteCompare",1.5,0.75,1,4,2,1,0.00971554,0.00643029,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,4,3,1,0.01257372,0.00304509,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,4,4,1,0.01671964,0.00499855,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,4,5,1,0.00888843,0.0061976,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,4,6,1,0.00550228,0.00834032,0.290012928362042
"R10-P1","noRouteCompare",1.5,0.75,1,4,7,1,0.01414774,0.00366861,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,4,8,1,0.01841588,0.009535,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,4,9,1,0.01090811,0.00176919,0.269297719193325
"R10-P1","noRouteCompare",1.5,0.75,1,4,10,1,0.00487958,0.00746828,0.248582510024608
"R10-P1","noRouteCompare",1.5,0.75,1,4,11,1,0.0061222,0.01824283,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,4,12,1,0.01020121,0.01564024,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,4,13,1,0.02227805,0.00643145,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,4,14,1,0.02134305,0.00335242,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,4,15,1,0.00843011,0.01329203,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,4,16,1,0.01832133,0.00804388,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,4,17,1,0.01524673,0.0058136,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,4,18,1,0.01828984,0.0069401,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,4,19,1,0.0160622,0.0032073,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,4,20,1,0.00483846,0.01610875,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,4,21,1,0.01562271,0.00415279,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,4,22,1,0.00817352,0.01476066,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,4,23,1,0.01863959,0.00593604,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,4,24,1,0.00424675,0.02248048,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,4,25,1,0.01308678,0.01819826,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,4,26,1,0.01466338,0.00372714,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,4,27,1,0.00640615,0.01476066,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,4,28,1,0.00522766,0.02181417,0.559310647555367
"R10-P1","noRouteCompare",1.5,0.75,1,4,29,1,0.01308678,0.01601231,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,4,30,1,0.01308678,0.00144104,0.31072813753076
"R10-P1","noRouteCompare",1.5,0.75,1,5,1,1,0.01053687,0.0172049,0.580025856724084
"R10-P1","noRouteCompare",1.5,0.75,1,5,2,1,0.00662143,0.01313223,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,5,3,1,0.02169548,0.00356612,0.517880229217933
"R10-P1","noRouteCompare",1.5,0.75,1,5,4,1,0.00765202,0.01496394,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,5,5,1,0.00784378,0.01428069,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,5,6,1,0.01283136,0.00981655,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,5,7,1,0.02319751,0.00593604,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,5,8,1,0.01171928,0.00118195,0.269297719193325
"R10-P1","noRouteCompare",1.5,0.75,1,5,9,1,0.00829098,0.02027205,0.600741065892802
"R10-P1","noRouteCompare",1.5,0.75,1,5,10,1,0.00792149,0.01184702,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,5,11,1,0.00281184,0.00952226,0.248582510024608
"R10-P1","noRouteCompare",1.5,0.75,1,5,12,1,0.00487092,0.01316686,0.372873765036911
"R10-P1","noRouteCompare",1.5,0.75,1,5,13,1,0.01601577,0.01383951,0.621456275061519
"R10-P1","noRouteCompare",1.5,0.75,1,5,14,1,0.01392258,0.00761467,0.455734601711781
"R10-P1","noRouteCompare",1.5,0.75,1,5,15,1,0.00622925,0.01511603,0.435019392543063
"R10-P1","noRouteCompare",1.5,0.75,1,5,16,1,0.02336307,0.00897391,0.662886693398954
"R10-P1","noRouteCompare",1.5,0.75,1,5,17,1,0.01707078,0.00282511,0.414304183374346
"R10-P1","noRouteCompare",1.5,0.75,1,5,18,1,0.00748905,0.01149615,0.393588974205629
"R10-P1","noRouteCompare",1.5,0.75,1,5,19,1,0.00592298,0.01717037,0.476449810880498
"R10-P1","noRouteCompare",1.5,0.75,1,5,20,1,0.0210539,0.00488665,0.53859543838665
"R10-P1","noRouteCompare",1.5,0.75,1,5,21,1,0.01432375,0.0171404,0.642171484230236
"R10-P1","noRouteCompare",1.5,0.75,1,5,22,1,0.00442332,0.01149798,0.331443346699477
"R10-P1","noRouteCompare",1.5,0.75,1,5,23,1,0.01265082,0.02328972,0.745747530073823
"R10-P1","noRouteCompare",1.5,0.75,1,5,24,1,0.01813695,0.00557076,0.497165020049215
"R10-P1","noRouteCompare",1.5,0.75,1,5,25,1,0.01204643,0.01327451,0.517880229217933
