"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","H2","Q","Qnorm"
"R-P","noRouteCompare",1.5,0.75,1,6,1,1,0,0.165680473372781,0.636363636363636
"R-P","noRouteCompare",1.5,0.75,1,6,2,1,0,0.247933884297521,0.625
"R-P","noRouteCompare",1.5,0.75,1,6,3,1,0,0.189349112426036,0.727272727272727
"R-P","noRouteCompare",1.5,0.75,1,6,4,1,0.347530685742881,0.222222222222222,0.5
"R-P","noRouteCompare",1.5,0.75,1,6,5,1,0.0731863427003821,0.109467455621302,0.278195488721804
"R-P","noRouteCompare",1.5,0.75,1,6,6,1,0,0.168888888888889,0.339285714285714
"R-P","noRouteCompare",1.5,0.75,1,6,7,1,0.143773821762447,0.162570888468809,0.383928571428571
"R-P","noRouteCompare",1.5,0.75,1,6,8,1,0.296081910965866,0.222222222222222,0.5
"R-P","noRouteCompare",1.5,0.75,1,6,9,1,0,0.32,0.666666666666667
"R-P","noRouteCompare",1.5,0.75,1,6,10,1,0,0.16,0.321428571428571
"R-P","noRouteCompare",1.5,0.75,1,6,11,1,0.666666666666667,0.37037037037037,0.833333333333333
"R-P","noRouteCompare",1.5,0.75,1,6,12,1,0,0.222222222222222,0.5
"R-P","noRouteCompare",1.5,0.75,1,6,13,1,0,0.1875,0.5
"R-P","noRouteCompare",1.5,0.75,1,6,14,1,0,0.247933884297521,0.5
"R-P","noRouteCompare",1.5,0.75,1,6,15,1,0,0.25,0.5
"R-P","noRouteCompare",1.5,0.75,1,6,16,1,0.13700877106064,0.183673469387755,0.75
"R-P","noRouteCompare",1.5,0.75,1,6,17,1,0,0.4,0.8
"R-P","noRouteCompare",1.5,0.75,1,6,18,1,0,0.284023668639053,0.571428571428572
"R-P","noRouteCompare",1.5,0.75,1,6,19,1,0,0.255102040816327,0.555555555555556
"R-P","noRouteCompare",1.5,0.75,1,6,20,1,0,0.4,0.8
"R-P","noRouteCompare",1.5,0.75,1,6,21,1,1.946,0.408163265306122,1
