"arrayType","algorithm","learningValue","abandonValue","arrayNumber","simulation","bout","bee","Q1","Q2","groupQuality"
"R-P","noRouteCompare",1.5,0.75,1,5,22,1,0.00748905,0.00818185,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,5,23,1,0.02210915,0.00158768,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,5,24,1,0.02625581,0.00490101,0.468127607357516
"R-P","noRouteCompare",1.5,0.75,1,5,25,1,0.00767539,0.01473088,0.332219592318237
"R-P","noRouteCompare",1.5,0.75,1,5,26,1,0.0104436,0.0052508,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,5,27,1,0.00522341,0.01004721,0.226513358398798
"R-P","noRouteCompare",1.5,0.75,1,5,28,1,0.02099412,0.01027157,0.468127607357516
"R-P","noRouteCompare",1.5,0.75,1,5,29,1,0.01955313,0.00700679,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,5,30,1,0.01675281,0.00432496,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,6,1,1,0.01514943,0.00279237,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,6,2,1,0.00801573,0.01314796,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,6,3,1,0.00764662,0.001632,0.135908015039279
"R-P","noRouteCompare",1.5,0.75,1,6,4,1,0.0137757,0.003109,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,6,5,1,0.01779692,0.00628885,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,6,6,1,0.00646266,0.00781509,0.211412467838878
"R-P","noRouteCompare",1.5,0.75,1,6,7,1,0.00748928,0.0055056,0.196311577278958
"R-P","noRouteCompare",1.5,0.75,1,6,8,1,0.02064185,0.00857477,0.437925826237677
"R-P","noRouteCompare",1.5,0.75,1,6,9,1,0.01558413,0.01680432,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,6,10,1,0.00728854,0.01609973,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,6,11,1,0.0050393,0.00500305,0.151008905599199
"R-P","noRouteCompare",1.5,0.75,1,6,12,1,0.00875142,0.01715743,0.392623154557917
"R-P","noRouteCompare",1.5,0.75,1,6,13,1,0.01960322,0.0040844,0.362421373438077
"R-P","noRouteCompare",1.5,0.75,1,6,14,1,0.03793317,0.0089509,0.709741856316234
"R-P","noRouteCompare",1.5,0.75,1,6,15,1,0.03793317,0.00483846,0.649338294076555
"R-P","noRouteCompare",1.5,0.75,1,6,16,1,0.00394267,0.01409626,0.271816030078558
"R-P","noRouteCompare",1.5,0.75,1,6,17,1,0.03413147,0.00404232,0.573833841276955
"R-P","noRouteCompare",1.5,0.75,1,6,18,1,0.01258738,0.00990831,0.332219592318237
"R-P","noRouteCompare",1.5,0.75,1,6,19,1,0.00521503,0.0162441,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,6,20,1,0.00657562,0.01033933,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,6,21,1,0.031644,0.00456604,0.543632060157116
"R-P","noRouteCompare",1.5,0.75,1,6,22,1,0.04302953,0.00516401,0.724842746876154
"R-P","noRouteCompare",1.5,0.75,1,6,23,1,0.00939745,0.01987172,0.437925826237677
"R-P","noRouteCompare",1.5,0.75,1,6,24,1,0.02317167,0.0085524,0.483228497917436
"R-P","noRouteCompare",1.5,0.75,1,6,25,1,0.03793317,0.00130988,0.588934731836875
"R-P","noRouteCompare",1.5,0.75,1,6,26,1,0.03793317,0.00479484,0.649338294076555
"R-P","noRouteCompare",1.5,0.75,1,6,27,1,0.03793317,0.00553486,0.649338294076555
"R-P","noRouteCompare",1.5,0.75,1,6,28,1,0.03413147,0.00777131,0.634237403516635
"R-P","noRouteCompare",1.5,0.75,1,6,29,1,0.00920432,0.01709409,0.392623154557917
"R-P","noRouteCompare",1.5,0.75,1,6,30,1,0.03873504,0.00626786,0.679540075196395
"R-P","noRouteCompare",1.5,0.75,1,7,1,1,0.01076461,0.01446814,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,7,2,1,0.01381693,0.00270564,0.256715139518638
"R-P","noRouteCompare",1.5,0.75,1,7,3,1,0.01633548,0.01077395,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,7,4,1,0.00508241,0.0175041,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,7,5,1,0.00612557,0.01242971,0.286916920638478
"R-P","noRouteCompare",1.5,0.75,1,7,6,1,0.00396112,0.02083983,0.377522263997997
"R-P","noRouteCompare",1.5,0.75,1,7,7,1,0.01604375,0.00697964,0.347320482878157
"R-P","noRouteCompare",1.5,0.75,1,7,8,1,0.00774255,0.00824182,0.241614248958718
"R-P","noRouteCompare",1.5,0.75,1,7,9,1,0.01200592,0.00761467,0.302017811198398
"R-P","noRouteCompare",1.5,0.75,1,7,10,1,0.02258547,0.00526599,0.422824935677757
"R-P","noRouteCompare",1.5,0.75,1,7,11,1,0.01629105,0.00515448,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,7,12,1,0.01762588,0.01708765,0.528531169597196
"R-P","noRouteCompare",1.5,0.75,1,7,13,1,0.02052859,0.01476066,0.528531169597196
"R-P","noRouteCompare",1.5,0.75,1,7,14,1,0.00176919,0.01890138,0.317118701758318
"R-P","noRouteCompare",1.5,0.75,1,7,15,1,0.01876112,0.00865898,0.407724045117837
"R-P","noRouteCompare",1.5,0.75,1,7,16,1,0.00942652,0.01835267,0.422824935677757
